Criterion,Max Points,Level 1 (High),Level 1 Description,Level 2 (Medium),Level 2 Description,Level 3 (Low),Level 3 Description
1. Program prompts for three numbers,10,Complete (10 pts),Program prompts the user for three numbers. This may be a single prompt that asks for three numbers or it may be three separate prompts.,Developing (5 pts),Programs prompts for one or two numbers or includes an incorrect attempt to prompt for numbers.,Missing (0 pts),"Missing, incomplete, or incorrect."
2. Program converts all three numbers,10,Complete (10 pts),Program converts all three numbers entered by the user from strings to ints or floats.,Developing (5 pts),Program converts one or two numbers or includes an incorrect attempt to convert the numbers.,Missing (0 pts),"Missing, incomplete, or incorrect."
3. Program calculates the correct tire volume,10,Complete (10 pts),Program calculates the correct tire volume.,Developing (5 pts),Program calculates a volume that is incorrect.,Missing (0 pts),"Missing, incomplete, or incorrect."
"4. Program prints the volume with 0, 1, or 2 digits after decimal",10,Complete (10 pts),Program prints the tire volume to the terminal window with no more than two digits after the decimal point.,Developing (5 pts),Program prints the volume with more than two digits after the decimal point.,Missing (0 pts),"Missing, incomplete, or incorrect."
5. Program imports datetime,3,Complete (3 pts),Program imports datetime.,Developing (1.5 pts),Program includes an incorrect attempt to import datetime.,Missing (0 pts),"Missing, incomplete, or incorrect."
6. Program gets the current date,10,Complete (10 pts),Program gets the current date from the computer's operating system.,Developing (5 pts),"Program includes some code to import datetime or get the current date, but the code doesn't work.",Missing (0 pts),"Missing, incomplete, or incorrect."
7. Program opens the volumes.txt file,10,Complete (10 pts),Program opens the volumes.txt file for appending text.,Developing (5 pts),"Program opens the volumes.txt file in any mode except appending text (e.g., reading, writing with truncate).",Missing (0 pts),"Missing, incomplete, or incorrect."
8. Program prints the current date to volumes.txt,10,Complete (10 pts),Program prints the current date to the volumes.txt file in the exact format: YYYY-MM-DD.,Developing (5 pts),Program prints the current date to the volumes.txt file in any other format.,Missing (0 pts),"Missing, incomplete, or incorrect."
"9. Program prints width, aspect ratio, diameter, and volume",20,Complete (20 pts),"Program prints the width, aspect ratio, diameter, and volume, properly formatted, to the volumes.txt file.",Developing (10 pts),Program prints only some of the required values or values improperly formatted to the volumes.txt file.,Missing (0 pts),"Missing, incomplete, or incorrect."
10. Creativity,7,Exceeded (7 pts),Additional features were added to the program.,N/A,N/A,Did Not Meet (0 pts),Additional features were not added to the program.
TOTAL,100,,,,,,
